scene_id,trip_id,rater_status,parent_scene_id,lump_split_type,canonical_desc,canonical_span_start,canonical_span_end,rater_A_refs,rater_B_refs,adjudicator_note
Brugmansia_08_S03_AB,Brugmansia_08,both,,none,Squiggly lines in a square shape in peripheral vision,1724,1830,A03,B02,Same squiggles-in-peripheral-vision scene. Both agree geometrical-pattern. A adds detached-object + impossible-event.
Brugmansia_08_S04_AB,Brugmansia_08,both,,none,Talking to imaginary people in the tent; waiting for responses that don't come,1954,2140,A04,B03,Same imaginary-people scene. Strong agreement on incrusted+unknown-person. A adds modal status.
Brugmansia_08_S05_AB,Brugmansia_08,both,,none,Wakes to hearing J whisper his name repeatedly; J denies having spoken,2142,2400,A05,B04,Same whispering-name scene. A correctly codes as AUDITORY hallucination of an acquaintance. B miscodes as VISUAL — classification error (the scene is explicitly auditory in the narrative).
Brugmansia_08_S06_AB,Brugmansia_08,both,,none,Blows on logs to flare up a fire that isn't in the tent,2404,2600,A06,B05,Same non-existent-fire scene. Both agree incrusted. A adds artefact/tool (odd fit — a fire isn't a tool or cloth) + modal status.
Brugmansia_08_S07_AB,Brugmansia_08,both,,none,Kept seeing 6-7 people in the tent when there were only 3,2695,2800,A07,B06,Same phantom-people-count scene. Both agree unknown-person. A adds incrusted + modal status.
Brugmansia_08_S08_AB,Brugmansia_08,both,,none,In the morning: two people come into tent and have sex in front of him; imaginary person sits next to him,2795,3060,A08,B07,Same tent-sex-people scene. Both agree unknown-person. A adds incrusted + improbable-event.
Brugmansia_09_S01_AB,Brugmansia_09,both,,none,No depth perception; everything looks blurry / with fuzz growing on it,934,1050,A01,B01,Same passage. Full agreement on illusion.
Brugmansia_09_S02_AB,Brugmansia_09,both,,none,Sees own reflection in mirror as a Cheshire-cat-like feline; tries to pet it,1217,1380,A02,B02,"Same Cheshire-cat-in-mirror scene. Disagreement on alteration type (illusion vs incrusted) and object class (B explicitly codes mammal; A does not). A's 'amnesia' code here is misplaced — the passage is about the moment of misrecognition, not memory loss. B's classification is arguably more accurate (the cat is a new object in place of his face)."
Brugmansia_09_S03_A,Brugmansia_09,only_A,,none,CD player disappears when looked at again,1383,1560,A03,,A codes the vanishing CD player; B does not individuate.
Brugmansia_09_S04_AB,Brugmansia_09,both,,none,Apparitions of parents walking into and out of room through a door that never opens,1756,1940,A04,B03,Same parents-apparitions scene. Both agree acquaintance. A adds incrusted + modal status.
Brugmansia_09_S05_AB,Brugmansia_09,both,,none,Eating food that isn't there; bread turns into a marker and disappears,1933,2170,A05,B04,"Same imaginary-food scene. Disagreement on object class: A says artefact-other (food/markers as man-made objects), B says inorganic-entity-other. Both are reasonable, but artefact fits bread/marker better. A adds incrusted + modal."
Brugmansia_10_S01_A,Brugmansia_10,only_A,,none,Believed his parents had come home (they had not); had imaginary greeting / interaction with them,1605,1900,A01,,"A codes the phantom-parents-arriving scene; B does not individuate it, although it is one of the more striking hallucinations in the narrative."
Brugmansia_10_S02_AB,Brugmansia_10,both,,none,Vague memory of talking to people all afternoon,2110,2170,A02,B01,Same 'talking to people all afternoon' passage. Both agree it involved unknown persons. B additionally codes auditory (talking = speech = auditory) which is a reasonable capture A missed. A codes incrusted + modal. B codes amnesia at scene-level (should arguably be trip-level).
Brugmansia_10_S03_AB,Brugmansia_10,both,,none,"During phone call to Lauren, repeatedly paused to talk to imaginary people in the room",2440,2620,A03,B02,Same phone-call-with-phantom-people scene. Both agree unknown-person visual; B correctly adds auditory. A adds incrusted + modal.
Brugmansia_10_S04_AB,Brugmansia_10,both,,none,5-6 friends walk in and hang out like at a small party for ~20 minutes,3144,3340,A04,B03,Same phantom-friends-visit scene. Both agree acquaintance visual; B correctly adds auditory. A adds incrusted + modal.
Brugmansia_11_S01_AB,Brugmansia_11,both,,none,"Life flashes before eyes; sees friends and relatives waving goodbye, crying, grieving",520,720,"A01,A02,A03","B01,B02",Same opening-scene. Both code full-blown immersive + acquaintance + impossible. A additionally captures the auditory component (crying) and object-constancy — both valid; B missed them.
Brugmansia_11_S02_AB,Brugmansia_11,both,,none,Being dragged down a corridor by a force; then free-floating / moving fast,641,1300,"A04,A05,A06","B03,B04",Same corridor + dragging-force + free-floating scene. MAJOR classification disagreement on the force: A codes it as NONSENSORY hallucination of extraordinary entity; B codes it as TACTILE hallucination of extraordinary entity. The narrative text 'dragging me down' supports tactile (B). A also codes the corridor itself as a visual-artefact and the movement-feeling as visual-inorganic; B instead captures the overall immersive quality.
Brugmansia_11_S03_AB,Brugmansia_11,both,,none,T-Junction with dark evil left / light divine right; feelings contrast radically between sides,1559,2800,"A07,A08,A09,A10,A11",B05,"Same T-Junction scene. Both code full-blown immersive. Disagreement on modal status: A=impossible, B=possible-but-improbable (reasonable disagreement for an NDE). A additionally codes T-junction as 'geometrical pattern' (literal but arguably over-literal — T is a shape), and codes darkness/light/tunnel as inorganic-entity and artefact sub-objects. B treats it holistically."
Brugmansia_11_S04_AB,Brugmansia_11,both,,none,"Great wind-force approaches with sound, arrives, hits him, sent back to consciousness",3030,3900,"A12,A13,A14","B06,B07",Same wind-force scene. Both code auditory + visual inorganic. A additionally captures the tactile modality (wind 'hitting' him) which B missed.
Brugmansia_12_S01_AB,Brugmansia_12,both,,none,Girlfriend appears sitting on end of bed; disappears when touched,1221,1380,"A04,A05",B01,"Same girlfriend-on-bed scene. Both agree incrusted + acquaintance. Disagreement on modal status: A=impossible, B=possible-and-probable."
Brugmansia_12_S02_AB,Brugmansia_12,both,,none,"During sleep cycles, sees different people in room (girlfriend's mom, friend) who turn out to be a chair and a pile of blanket respectively",1519,1950,"A06,A07","B02,B03,B04,B05",Same sleep-cycle scene. Both agree acquaintance visual. B adds incrusted + modal. Arguably this is an ILLUSION (mistaking a chair for a person) rather than an incrusted hallucination (adding a person); neither rater captured that distinction.
Brugmansia_12_S03_AB,Brugmansia_12,both,,none,Eating cheese pizza in bed; tastes it; pizza slides down gap and is gone,2097,2280,"A08,A09,A10","B06,B07","Same cheese-pizza scene. Both agree gustatory. Major disagreement on type-of-alteration: A=incrusted, B=full-blown-immersive. A captures more modalities (tactile, visual artefact) and dynamics (no constancy) that B omits."
Brugmansia_12_S04_AB,Brugmansia_12,both,,none,"Doing crosswords in newspaper; newspaper slides down gap, pen lost after",2287,2460,"A11,A12,A13",B08,Same newspaper-sliding scene. Disagreement on type-of-alteration (incrusted vs full-blown immersive). A codes many more attributes.
Brugmansia_12_S05_AB,Brugmansia_12,both,,none,Facing tv smoking a cigarette; puts it under blanket; realises no cigarette exists,2454,2700,"A14,A15,A16",B09,Same phantom-cigarette scene. Same pattern as S03/S04: disagreement on alteration type.
Brugmansia_12_S06_AB,Brugmansia_12,both,,none,"Preacher woman on TV; believes she is talking to HIM personally, eyes follow him, threatens hell",3094,3700,A17,"B10,B11",Same preacher-on-TV scene. Both agree auditory hallucination of an unknown person. B additionally codes the visual component (the preacher appearing to look at him) + modal. The preacher is a real TV image — the hallucinatory element is that she is talking to him; B's coding is broader but arguably over-captures since the visual part isn't strictly hallucinated. A codes it at trip-level as psychological projection (a06) which is the most accurate framing.
Brugmansia_12_S07_B,Brugmansia_12,only_B,,none,Woke up thinking he was at his girlfriend's house,3732,3830,,B12,B codes the spatial-disorientation as an illusion; A codes only at trip-level (a05 Delusional).
Brugmansia_12_S08_AB_LUMPA,Brugmansia_12,both,,A_lumped_B_split,"Two star-incidents lumped together in A's individuation: (i) star at end of pen whirls out window, (ii) star shoots out of stereo display. A treated these as one scene; B split them into two separate scenes. This parent record covers A's lumped scope.",4498,4870,A18,"B13,B14",Parent lump: A quoted both star incidents together in one excerpt; B quoted them in two separate excerpts that together cover the same narrative span.
Brugmansia_12_S08.1_AB_SPLITB,Brugmansia_12,both,Brugmansia_12_S08_AB_LUMPA,A_lumped_B_split,"Child 1 of S08 lump: star appears at end of pen, whirls, shoots out window",4498,4680,A18,B13,B's first split; A's lump covers this via A18.
Brugmansia_12_S08.2_AB_SPLITB,Brugmansia_12,both,Brugmansia_12_S08_AB_LUMPA,A_lumped_B_split,Child 2 of S08 lump: star shoots out of stereo display in the dark; moves wherever he isn't looking,4706,4870,A18,B14,B's second split; A's lump covers this via A18.
Brugmansia_13_S01_AB,Brugmansia_13,both,,none,Mirror reflection of himself is shirtless after he has put his shirt on,1025,1170,A02,B01,"Same shirtless-mirror-self scene. Disagreement on alteration: A=illusion (reflection misperceived), B=incrusted + unknown person (a new entity in the mirror). Either reading is defensible. B adds modal status."
Brugmansia_13_S02_A,Brugmansia_13,only_A,,none,Believes a pen in his hand is the sandals he was looking for,1594,1870,"A03,A04",,A codes this pen/sandals misidentification at scene-level + trip-level delusional. B codes only at trip-level (b01 delusional) — a missed scene individuation.
Brugmansia_13_S03_AB,Brugmansia_13,both,,none,"In the bathroom (locked) sees two friends: one watching him piss, another washing hands; has a conversation; friends vanish",2100,2420,"A05,A06","B02,B03,B04",Same bathroom-friends scene. Both agree incrusted + acquaintance. A correctly adds auditory (conversation) + no-object-constancy (he was gone after). Modal-status disagreement (improbable vs probable).
Brugmansia_13_S04_B,Brugmansia_13,only_B,,none,"In music store, friends at CD racks keep disappearing when he looks for them",3083,3270,,B05,B individuates the friends-disappearing-in-store scene; A does not code at scene-level (but codes related disappearance dynamics at trip-level).
Brugmansia_13_S05_AB,Brugmansia_13,both,,none,"Believes he is driving his own car with friends in the back; reaches for brake pedal, steering wheel, instrument panel, sees brake lights of other cars",3518,3900,"A07,A08,A09,A10,A11,A12,A13,A14,A15,A16",B06,"Same phantom-car scene. Disagreement on alteration type: A=incrusted (many small objects: wheel, dash, brake lights), B=full-blown immersive (he was fully convinced he was driving — an alternate reality). Both defensible. A captures tactile modality (reaching for controls) that B omits."
Brugmansia_13_S06_AB,Brugmansia_13,both,,none,"Throughout the night, pulls (non-existent) cigarettes from empty pack, lights them, smokes them; hand shaped around cigarette",4252,4560,"A17,A18,A19,A20","B07,B08",Same phantom-cigarette scene. Both agree tactile. Alteration disagreement (incrusted vs full-blown immersive). Same pattern as S05.
Brugmansia_13_S07_AB,Brugmansia_13,both,,none,"Believes he went to bed stripped to boxers; wakes up sitting in desk chair fully clothed, smoking imaginary cigarette; repeats 3x",4568,4750,"A21,A22,A23,A24",B09,"Same bed-vs-desk-chair scene. Same pattern: A=incrusted with object leaves, B=full-blown immersive."
Brugmansia_13_S08_AB,Brugmansia_13,both,,none,Shadow humanoid figures leap across ceiling; shadow head peeks from bedroom corners,4856,5150,"A25,A26,A27","B10,B11","Same shadow-figures scene. Disagreement on alteration type (detached vs incrusted) AND on object class: A=extraordinary entity (shadow beings), B=human-others (human figures). The narrator calls them 'shadows of human figures' — both readings defensible."
Brugmansia_13_S09_AB,Brugmansia_13,both,,none,"Cat pouncing on stomach and digging under covers; grabs cat to put her out, only to find hand empty (cat was already out)",5154,5400,"A28,A29,A30","B12,B13",Same phantom-cat scene. Both agree mammal. Alteration disagreement (incrusted vs full-blown immersive). A adds amnesia (reasonable — he'd forgotten locking the cat out) and delusional.
Brugmansia_13_S10_AB,Brugmansia_13,both,,none,Girlfriend appears twice on other side of bed; touches her hair once; second time yells at her for hogging bed; she was not there,5526,5700,A31,"B14,B15",Same phantom-girlfriend-in-bed scene. Both agree acquaintance visual. B correctly adds tactile (touched her hair) which A missed. B also adds incrusted + modal.
Brugmansia_14_S01_A,Brugmansia_14,only_A,,none,"Billiard ball perceived as an apple, almost bitten",693,780,"A01,A02",,A individuates the billiard-ball-as-apple as a scene; B does not.
Brugmansia_14_S02_AB,Brugmansia_14,both,,none,Sees friend's dad and greets him; friend says no one is there,896,990,"A03,A04","B01,B02",Same scene. Both see acquaintance + incrusted.
Brugmansia_14_S03_AB,Brugmansia_14,both,,none,Believes he is playing guitar really well; realises his hands are in his pockets,988,1120,"A05,A06,A07",B03,Same scene. Both capture tactile modality.
Brugmansia_14_S04_AB,Brugmansia_14,both,,none,"Friend walks him home for 15 min, disappears into thin air just before his house",1122,1350,A08,B04,"Same phantom-friend-walks-home scene; A focuses on the disappearance, B on the walk. Same scene different aspects emphasised."
Brugmansia_14_S05_AB,Brugmansia_14,both,,none,"At night, talks to imaginary people",1353,1420,"A09,A10","B05,B06",Same imaginary-people scene. Attribute disagreements (detached vs incrusted; extraordinary-entity vs human-unknown) are left as rater subjectivity.
Brugmansia_14_S06_AB,Brugmansia_14,both,,none,Smoking an imaginary cigarette (he is a non-smoker),1416,1510,A11,B07,Same imaginary-cigarette scene. Both capture tactile.
Brugmansia_15_S01_A,Brugmansia_15,only_A,,none,Own mirror reflection perceived as one of his friends; has conversation with it until hand-gesture mirroring reveals it is himself,1304,1550,"A01,A02,A03",,A individuated this as a scene; B did not.
Brugmansia_15_S02_AB,Brugmansia_15,both,,none,Two-hour conversation in bed with two imaginary friends on the floor,1563,1760,A04,"B01,B02",Same imaginary-friends scene. B captures acquaintance object-class. Modal-status disagreement (probable vs improbable) — rater subjectivity.
Brugmansia_16_S01_AB,Brugmansia_16,both,,none,Hallucinations of friends (who were in different cities) conversing and making plans; gone when looked back at,1194,1370,"A01,A02","B01,B02,B03",Both raters individuated this as a single scene. Attribute differences left as-is.
Brugmansia_17_S01_A,Brugmansia_17,only_A,,none,Mistook canola cooking oil bottle for a drink and drank it (twice attempted),2590,3050,"A01,A02",,A individuated this as a scene; B did not.
Brugmansia_18_S01_AB,Brugmansia_18,both,,none,Jake arrives with a group of unknown silent people; later realises it wasn't Jake,1432,1960,"A01,A02","B01,B02,B03",Both individuated this scene. A quoted later part (realisation); B quoted earlier part (arrival).
Brugmansia_18_S02_AB,Brugmansia_18,both,,none,Smoking imaginary cigarettes all night; ~6 unknown people in apartment,2079,2280,"A03,A04,A05",B04,Both individuated. Attribute details differ.
Brugmansia_18_S03_AB,Brugmansia_18,both,,none,Silent people take the form of mental patients; lip-reading their non-sounds,2415,2670,"A06,A07",B05,Both individuated this scene.
Brugmansia_18_S04_A,Brugmansia_18,only_A,,none,Strange silent people take on horror-based figures,2674,2870,A08,,A individuated as a distinct scene; B did not (possibly treated as continuation of S03).
Brugmansia_18_S05_B,Brugmansia_18,only_B,,none,Mental patients lying on floor beside bed after returning home,3424,3610,,B06,B individuated this as a separate scene at home; A did not.
Brugmansia_18_S06_B,Brugmansia_18,only_B,,none,Two female mental patients at home (a pillow-headed one and a clock-headed one),4017,4500,,B07,B individuated this as a separate detailed scene; A did not.
Brugmansia_19_S01_AB,Brugmansia_19,both,,none,White cobwebs layer on ceiling; possibly a spider,737,900,"A01,A02",B01,Both individuated this scene.
Brugmansia_19_S02_AB,Brugmansia_19,both,,none,Naked blonde woman standing in the shower; repeated conversations,946,1040,"A03,A04",B02,Both individuated this scene.
Brugmansia_20_S01_B,Brugmansia_20,only_B,,none,Feels someone's legs across his chest as if a person came in and slept in his bed,774,900,,B01,B individuated this as a scene; A did not.
Brugmansia_20_S02_A,Brugmansia_20,only_A,,none,Pitch black room impaired vision (darkness coded as illusion),912,975,A01,,A individuated; B did not.
Brugmansia_20_S03_AB,Brugmansia_20,both,,none,"Instead of seeing his friend on the floor, sees a kid from down the street + 3 other sleeping people",1036,1200,"A02,A03,A04","B02,B03",Both individuated this scene.
Brugmansia_20_S04_B,Brugmansia_20,only_B,,none,Returning to room still sees the person in the bed; then gone,1564,1650,,B04,B individuated this as a separate scene; A did not.
Brugmansia_20_S05_AB,Brugmansia_20,both,,none,"Friend appearing in computer chair (repeatedly, while actually asleep on floor)",1658,2270,"A05,A06","B05,B06,B07",Both individuated this scene.
Brugmansia_20_S06_A,Brugmansia_20,only_A,,none,Roach on the window blinds,2273,2330,"A07,A08",,A individuated; B did not.
Brugmansia_20_S07_AB,Brugmansia_20,both,,none,Two unknown people come out of sister's room asking for smoking materials,3079,3230,"A09,A10,A11","B08,B09,B10",Both individuated this scene with matching attributes.
Brugmansia_20_S08_AB,Brugmansia_20,both,,none,A different friend appears beside him; asks for help finding joint; friend disappears/reappears,3513,3700,"A12,A13",B11,Both individuated this scene.
Brugmansia_20_S09_AB,Brugmansia_20,both,,none,Wasps flying in room; a frog on the blind-string eats a wasp,3812,4020,"A14,A15,A16","B12,B13,B14,B15",Both individuated this scene with matching attributes.
Brugmansia_20_S10_A,Brugmansia_20,only_A,,none,Morning arrives in discrete lighting-brightness waves rather than continuously,4028,4220,A17,,A individuated as illusion; B did not.
Psilocybe_01_S01_AB,Psilocybe_01,both,,none,Cosmic hum / organic buzzing / radio-static sound,451,700,A01,B01,Both individuated this scene.
Psilocybe_01_S02_AB,Psilocybe_01,both,,none,Kaleidoscopic fractals/color/shapes swirling; edges of own body and blanket dissolving into shapes,895,1200,"A02,A03,A04,A05,A06,A07,A08",B02,"Both individuated this scene. A fragments into many sub-object excerpts (blanket edges, body edges, shapes); B codes holistically as illusion. Plus B codes the same passage at trip-level as own-body-distortion + haptic delight."
Psilocybe_01_S03_A,Psilocybe_01,only_A,,none,Main narrator voice + other voices + voices of people/entities + electronic music booming,1300,1520,A09,,A individuated the multiple-voices-and-music scene; B did not scene-code it.
Psilocybe_01_S04_AB,Psilocybe_01,both,,none,"Presence of entities in the room with him; some visible as swirls, others formless",1980,2900,"A10,A11,A17,A18,A19","B04,B05",Both individuated the entities-present scene.
Psilocybe_01_S05_AB,Psilocybe_01,both,,none,Thinking of people in his life — sees them and talks with them; also sees people he's never met and admires (including Erykah Badu voicing wisdoms),2202,2600,"A12,A13,A14,A15,A16",B03,Both individuated this combined 'people and voices' scene with similar auditory codes.
Psilocybe_01_S06_A,Psilocybe_01,only_A,,none,Erotic dance with the entities; 'spotted' by outsiders; giggling and mutually admiring,3240,3560,"A20,A21",,"A individuated this erotic-dance scene. B codes the same passage at trip-level as Sensory-delight/erotic, not scene-level."
Psilocybe_01_S07_A,Psilocybe_01,only_A,,none,Breaking edges visible again when focusing later in the trip,4550,4620,A22,,A individuated as a distinct later scene; B did not.
Psilocybe_01_S08_AB,Psilocybe_01,both,,none,"In bathroom: tile floor's tiny hair strands moving, ondulating, separating into edges",6771,6960,"A23,A24,A25",B06,Both individuated this scene.
Psilocybe_01_S09_A,Psilocybe_01,only_A,,none,Visualises mycelium branching in disturbed earth connecting all beings,9742,10000,"A26,A27,A28,A29",,A individuated the mycelium visualisation as a scene. B codes the same passage at trip-level as Insight/Existential.
Psilocybe_02_S01_A,Psilocybe_02,only_A,,none,Sky is unusually colourful,308,380,A01,,A individuated.
