scene_id,trip_id,rater_status,stage1_driver,verdict,verdict_flavour,verdict_source,rationale
Psilocybe_01_S07_A_RCL,Psilocybe_01,only_A,RCL,AMBIGUITY,2a,manual,"""Breaking edges visible again when focusing later in the trip"" — explicit recurrence of the AB S02 kaleidoscopic-edges phenomenon. Guidelines do not rule on whether recurrences of a named phenomenon later in the trip are new scenes."
Psilocybe_01_S09_A_RCL,Psilocybe_01,only_A,RCL,AMBIGUITY,2b,manual,"""Visualises mycelium branching in disturbed earth connecting all beings"" — inner visualisation/metaphor accompanying an insight, not an external perceptual hallucination. Would fit an ""insight content"" or ""visualised metaphor"" category outside the hallucinatory-scene framework."
Psilocybe_02_S01_A_RCL,Psilocybe_02,only_A,RCL,MISS,,manual,"""Do you see how colourful is the sky?"" — concrete ambient colour alteration. Near-identical to AB S10 (""Mexican environment perceived as extraordinarily colourful""). B should have individuated by own criterion on S10."
Psilocybe_02_S03_A_RCL,Psilocybe_02,only_A,RCL,MISS,,manual,"""Hands transparent, milky, blue veins, tiny particles moving"" — concrete visual hallucination of own body. Matches rich AB criterion of concrete visual alterations; body-hallucinations are squarely within pair's criterion."
Psilocybe_02_S05_A_RCL,Psilocybe_02,only_A,RCL,AMBIGUITY,2a,manual,"""Fell into a fantasy world like The Lord of The Rings"" — closed-eye fantasy imagery. AB criterion is largely open-eye perceptual alteration. Guidelines unclear on whether closed-eye fantasy immersions constitute hallucinatory scenes."
Psilocybe_02_S06_A_RCL,Psilocybe_02,only_A,RCL,AMBIGUITY,2a,manual,"""Taken back by a violent scream"" — passage is ambiguous between real auditory event (girlfriend screamed) and auditory hallucination. Cannot determine from narrative alone; edge case requiring a rule on how to code ambiguous-source sounds."
Psilocybe_02_S08_A_RCL,Psilocybe_02,only_A,RCL,MISS,,manual,"Walking in wood: ""brilliant green heart-shaped leaves, rain like ice needles, wind in dolby surround"" — amplified multi-modal perceptual experience of environment. Matches AB S10 (colourful Mexican env.) and the perceptual-amplification pattern across the trip."
Psilocybe_02_S12_A_RCL,Psilocybe_02,only_A,RCL,MISS,,manual,"""California party with lots of people and music; amplified echo-sounds"" — auditory hallucination creating displaced-place feeling. Concrete auditory content. Matches AB S09 (feeling of someone following) and the auditory-alteration pattern."
Psilocybe_02_S13_A_RCL,Psilocybe_02,only_A,RCL,AMBIGUITY,2b,manual,"""Visions of my past, parties, clubs"" — memory imagery / recollection with vividness. Not an external perceptual hallucination; would fit a memory-imagery category rather than hallucinatory-scene."
Psilocybe_02_S14_A_RCL,Psilocybe_02,only_A,RCL,MISS,,manual,"""Our scent is so strong… too strong, like animals"" — olfactory hallucination/amplification with specific content. Pair's criterion is modality-agnostic across the trip (includes tactile feeling, visual, auditory)."
Psilocybe_02_S17_A_RCL,Psilocybe_02,only_A,RCL,MISS,,manual,"""Hears voices outside as Chinese speakers under bamboo shelter"" — concrete auditory hallucination with narrative content and embedded imagined setting. Clearly within criterion."
Psilocybe_02_S19_A_RCL,Psilocybe_02,only_A,RCL,AMBIGUITY,2a,manual,"""Suddenly I entered 2001: A Space Odyssey"" — immersive mental experience invoking film imagery. Edge-case between closed-eye immersive imagery (arguably AMBIGUITY-2a, like S05) and a cultural-reference metaphor."
Psilocybe_02_S20_A_RCL,Psilocybe_02,only_A,RCL,MISS,,manual,"Wood-board ceiling: ""veins and nodes floating"" — concrete visual surface-animation. Directly matches AB S02 (""tree with animated cortex"") and S04 (""ground as moving worms"")."
Psilocybe_02_S22_A_RCL,Psilocybe_02,only_A,RCL,MISS,,manual,"""Everything turns silver; opera-set leans toward audience"" — concrete visual alteration of whole environment. Matches AB S16 (""wall becomes liquid and transparent"") — same category of environmental transformation."
Psilocybe_02_S25_A_AMB,Psilocybe_02,only_A,AMB,AMBIGUITY,2b,auto,Thought / memory / metaphor content individuated as a scene by one rater — the passage is phenomenologically real but arguably a different (non-perceptual) phenomenon the current taxonomy has no dedicated category for.
Psilocybe_02_S26_A_RCL,Psilocybe_02,only_A,RCL,MISS,,manual,"""Palm lines change colour, iridescent pulsing lines, hand as planet surface, dead hand"" — concrete visual hallucination of own body with specific content. Matches body-alteration criterion; equal detail to AB scenes."
Psilocybe_04_S01_B_RCL,Psilocybe_04,only_B,RCL,MISS,,manual,"""Sees himself on a very high bridge pirouetting like a Cirque du Soleil acrobat"" — concrete visual self-hallucination with specific content. Matches AB S03 (sees spirits and a pesky demon) as concrete visual content; an early-onset scene A might have discounted as too early."
Psilocybe_05_S02_A_AMP,Psilocybe_05,only_A,AMP,AMBIGUITY,2a,auto,Ambient perceptual amplification without a discrete hallucinatory object — the Guidelines do not rule cleanly on whether brightness/colour/shimmer changes alone constitute a scene.
Psilocybe_05_S03_A_RCL,Psilocybe_05,only_A,RCL,AMBIGUITY,2b,manual,"""Pictures himself as a small child lost in space, flying into the nether"" — inner imaginal metaphor / self-imagery. Not external perceptual content; would fit an ""inner imagery"" category outside hallucinatory-scene."
Psilocybe_05_S04_A_RCL,Psilocybe_05,only_A,RCL,MISS,,manual,"""Sun rising and setting repeatedly in background of picture; every component a breathing mass of cosmic sludge"" — concrete visual hallucinated transformation of a viewed image. Directly matches AB S01 (""words on screen shimmer, mutate rhythmically"") and S05 (""golden sun of geometric figures etched into screen"") — same device."
Psilocybe_05_S06_A_RCL,Psilocybe_05,only_A,RCL,AMBIGUITY,2b,manual,"""Sinister cosmic black hole pulling away more and more of my ego"" — subjective ego-dissolution metaphor, no perceptual content. Classic trip-level phenomenon, not a hallucinatory scene."
Psilocybe_05_S09_A_RCL,Psilocybe_05,only_A,RCL,MISS,,manual,"Auditory hallucinations infiltrating thoughts (""ghost voices of acquaintances""). Concrete auditory hallucinations with specific source attribution. Matches criterion (multimodal AB content)."
Psilocybe_05_S11_A_RCL,Psilocybe_05,only_A,RCL,AMBIGUITY,2b,manual,"""Felt as though I had stumbled upon some cosmic isle free of earthly properties"" — subjective feeling of being elsewhere, no concrete perceptual content. Classic trip-level atmospheric phenomenon."
Psilocybe_06_S02_A_RCL,Psilocybe_06,only_A,RCL,AMBIGUITY,2b,manual,"""Speaking and hearing spoken words began to feel somewhat alien"" — metacognitive/phenomenological feeling about language experience. No concrete perceptual hallucination. Would fit an altered-cognitive-phenomenology category."
Psilocybe_06_S03_A_RCL,Psilocybe_06,only_A,RCL,AMBIGUITY,2b,manual,"""Couldn't see or make out colors or shapes; everything was a black and brown haze"" after entering dark bathroom from bright sun. Normal dark-adaptation physiology, not a hallucination. Phenomenologically real but not a hallucinatory scene."
Psilocybe_06_S05_A_RCL,Psilocybe_06,only_A,RCL,MISS,,manual,"""Everything was kind of glassy"" — ambient visual quality alteration. Matches AB S01/S04/S06 — all ambient surface-visual alterations in this trip."
Psilocybe_06_S07_A_RCL,Psilocybe_06,only_A,RCL,AMBIGUITY,2a,manual,"""Period-rush: for a few seconds I felt like I was really there, in prehistoric earth in front of a T-rex"" — brief immersive mental/temporal experience. Edge-case between immersive mental imagery and a discrete hallucinatory scene."
Psilocybe_06_S08_A_RCL,Psilocybe_06,only_A,RCL,MISS,,manual,"""Sounds of people talking ceased to be words and turned into pure sounds flowing around and through me"" — concrete auditory perceptual alteration. Matches ambient-alteration criterion established by AB scenes."
Psilocybe_06_S09_A_AMP,Psilocybe_06,only_A,AMP,AMBIGUITY,2a,auto,Ambient perceptual amplification without a discrete hallucinatory object — the Guidelines do not rule cleanly on whether brightness/colour/shimmer changes alone constitute a scene.
Psilocybe_07_S02_A_RCL,Psilocybe_07,only_A,RCL,AMBIGUITY,2a,manual,"""Visions plentiful but solemn; mostly in black and white"" + ""ego being physically crushed like a can"". Mixed passage: summary-of-visions (no specific scene) + ego-metaphor. Guidelines unclear on whether summary statements and ego-metaphors constitute discrete scenes."
Psilocybe_08_S02_A_RCL,Psilocybe_08,only_A,RCL,AMBIGUITY,2a,manual,"""Friend who told frog joke shows up in frog form a few times during the session"" — granularity edge-case relative to AB S10 (""two friends appear in fractal space: one as a frog, one dancing""). May be covered by S10 in B's individuation, or a separate earlier instance."
Psilocybe_08_S04_A_RCL,Psilocybe_08,only_A,RCL,MISS,,manual,"""Living, breathing Earth with water flowing around and through it"" — concrete cosmic visual hallucination. Directly matches AB S08 (""beautiful fractal rainbow spiral world"") — same cosmic-vision category."
Psilocybe_08_S05_B_FRAG,Psilocybe_08,only_B,FRAG,AMBIGUITY,2a,auto,Fragment/sub-scene of a holistic scene coded by the other rater — the Guidelines do not specify lump-vs-split granularity for overlapping spans.
Psilocybe_08_S06_A_FRAG,Psilocybe_08,only_A,FRAG,AMBIGUITY,2a,auto,Fragment/sub-scene of a holistic scene coded by the other rater — the Guidelines do not specify lump-vs-split granularity for overlapping spans.
Psilocybe_08_S11_A_RCL,Psilocybe_08,only_A,RCL,AMBIGUITY,2b,manual,"""Own consciousness manifests as loosely defined part of the fractal; candle-light fading"" — subjective phenomenology of consciousness within the already-individuated fractal world. Not an additional perceptual scene; more a felt-quality."
Psilocybe_08_S12_A_RCL,Psilocybe_08,only_A,RCL,AMBIGUITY,2a,manual,"""Normal human waking life as one small dark loop in the pattern"" — concrete imagery attached to an insight about human life. Edge-case between hallucinated imagery and metaphorical vision; Guidelines unclear on where to draw the line."
Psilocybe_09_S01_A_RCL,Psilocybe_09,only_A,RCL,MISS,,manual,"""Waves rose slowly and rainbow pastel colors started to separate and replicate"" — concrete ambient visual hallucination. Matches the pair's criterion on lights dancing / 3D mosaic; early-onset scene B may have undervalued."
Psilocybe_09_S02_A_RCL,Psilocybe_09,only_A,RCL,AMBIGUITY,2b,manual,"""Gave birth to the universe, accompanied by ecstatic dancing"" — ecstatic/spiritual experience with metaphorical content. Not a perceptual hallucinatory scene."
Psilocybe_09_S04_A_RCL,Psilocybe_09,only_A,RCL,AMBIGUITY,2b,manual,"""Cosmic winds blew through the center of where I had been until there was nothing"" — ego-dissolution metaphor, no perceptual content. Classic trip-level phenomenon."
Psilocybe_09_S05_A_RCL,Psilocybe_09,only_A,RCL,MISS,,manual,"""When I turned my gaze, darkness followed behind, but what I looked at was illuminated"" — concrete visual-field alteration (anomalous light/dark distribution relative to gaze). Matches AB S03 (""lights dancing; poster is a 3D mosaic undulating""): ambient-visual alteration category."
Psilocybe_10_S07_A_RCL,Psilocybe_10,only_A,RCL,MISS,,manual,"""Still-distorting houses and telephone poles seen from ambulance"" — concrete visual distortion continuing at a new location. Direct continuation of AB S02 (""outlines wavy/melting"") and S05 (""everything in visual field was breathing"")."
Psilocybe_11_S06_B_RCL,Psilocybe_11,only_B,RCL,AMBIGUITY,2a,manual,"""With the pulsing came recognizable images from our own world"" — summary-of-transition statement referencing S04's pulsing. Granularity edge-case: transition description vs discrete scene."
Psilocybe_11_S07_B_RCL,Psilocybe_11,only_B,RCL,MISS,,manual,"""Entity took my arms, poked me in the face/chest while repeating 'you are the universe'"" — novel physical-interaction event with the entity established in AB S01/S03/S08. Distinct tactile+auditory+message content not covered by other AB scenes."
Psilocybe_12_S01_B_RCL,Psilocybe_12,only_B,RCL,AMBIGUITY,2a,manual,"""Within 10 minutes things were getting real colorful"" — early-onset brief general colour-shift summary. Guidelines unclear on whether brief onset-effect summaries constitute a scene."
Psilocybe_12_S05_B_FRAG,Psilocybe_12,only_B,FRAG,AMBIGUITY,2a,auto,Fragment/sub-scene of a holistic scene coded by the other rater — the Guidelines do not specify lump-vs-split granularity for overlapping spans.
Psilocybe_12_S09_A_AMP,Psilocybe_12,only_A,AMP,AMBIGUITY,2a,auto,Ambient perceptual amplification without a discrete hallucinatory object — the Guidelines do not rule cleanly on whether brightness/colour/shimmer changes alone constitute a scene.
Psilocybe_12_S10_A_RCL,Psilocybe_12,only_A,RCL,MISS,,manual,"""Watercolor of red apples on emerald green background boiled and moved in hypnotic chaotic madness"" — concrete visual hallucination of a painting transforming. Matches AB S02/S07 (full kaleidoscope, swimming through geometric objects) — pair's criterion strongly covers surface-motion."
Psilocybe_13_S07_B_RCL,Psilocybe_13,only_B,RCL,AMBIGUITY,2a,manual,"""House was very psychedelic and trippy"" — general summary with no specific hallucinatory content. Guidelines do not specify whether generalised atmospheric statements constitute a scene."
Psilocybe_13_S11_B_RCL,Psilocybe_13,only_B,RCL,MISS,,manual,"""Room bursts into a million colors and crazy patterns"" — ambient colour+pattern explosion. Matches AB criterion (many animated surfaces/patterns in this trip)."
Psilocybe_13_S12_B_RCL,Psilocybe_13,only_B,RCL,MISS,,manual,"""Peeled banana, once peeled, had streaks of red and purple in it"" — concrete visual alteration of specific object. Matches AB criterion (paintings come alive, blankets as clouds) — specific-object-hallucination category."
Psilocybe_13_S13_A_RCL,Psilocybe_13,only_A,RCL,AMBIGUITY,2b,manual,"""Feel electricity in the back of my head and my neck hair was standing up"" during a storm — somatic sensation, possibly real (storm-related static / arousal) rather than hallucinatory. Edge-case for the hallucinatory-scene category."
Psilocybe_14_S01_A_RCL,Psilocybe_14,only_A,RCL,AMBIGUITY,2a,manual,"""First flashes of pastel colors began to dance behind my eyelids"" — minor onset closed-eye visual. Threshold edge-case: are minor onset CEVs discrete scenes or too-minor-to-individuate? Guidelines unclear."
Psilocybe_14_S02_B_SOMA,Psilocybe_14,only_B,SOMA,AMBIGUITY,2b,auto,Somatic self-transformation / interoceptive content — the passage is phenomenologically real but may not be a hallucinatory SCENE in the external-object sense; would fit better in a body-schema / ego-dissolution category the current taxonomy lacks.
Psilocybe_14_S03_B_RCL,Psilocybe_14,only_B,RCL,AMBIGUITY,2b,manual,"""It was my turn to die"" — insight/belief with no perceptual content. Would fit a delusional-belief or existential-insight category, not a hallucinatory scene."
Psilocybe_15_S01_A_RCL,Psilocybe_15,only_A,RCL,MISS,,manual,"""Limbs in the tree seemed to pull away from me and each other"" — concrete visual distortion of trees. Directly matches AB S12/S13 (trees melting and bending); an earlier instance of the same phenomenon B consolidated later."
Psilocybe_15_S02_A_RCL,Psilocybe_15,only_A,RCL,AMBIGUITY,2b,manual,"""The sun had this awesome presence, it was warm and powerful, a God-like figure"" — subjective feeling about the sun's meaning/significance. No hallucinated visual alteration of the sun; numinous feeling rather than perception."
Psilocybe_15_S03_B_RCL,Psilocybe_15,only_B,RCL,AMBIGUITY,2a,manual,"""Scenery had definitely changed, nothing seemed to sit in space as it normally would, and nothing was stationary"" — summary statement of ongoing visual distortion. Granularity edge-case relative to AB S12/S13/S14 which describe the same state."
Psilocybe_15_S06_A_RCL,Psilocybe_15,only_A,RCL,MISS,,manual,"""Friends' yells reverberated the same way the hawk's scream did, and I felt them all around me"" — concrete auditory distortion with spatial-dispersal content. Directly matches AB S11 (""yelps of coyotes and reverberating auditory hallucinations"") — same phenomenon."
Psilocybe_15_S09_B_RCL,Psilocybe_15,only_B,RCL,AMBIGUITY,2b,manual,"""Entered a strange world in my head; filled with language, numbers, confusion, loss ness"" — inner cognitive/mental experience with no external perceptual content. Would fit a mentation-state category, not hallucinatory scene."
Psilocybe_15_S10_B_RCL,Psilocybe_15,only_B,RCL,AMBIGUITY,2b,manual,"""I was not Gregg Dix; I was a primitive mind…"" — delusional/existential-belief passage with no perceptual content. Classic ego-dissolution trip-level phenomenon."
Psilocybe_15_S15_A_RCL,Psilocybe_15,only_A,RCL,MISS,,manual,"""Poked my head from the blanket and it was a strange orange dawn-like place, it was night no longer"" — concrete visual perception of altered environment. Matches AB S14 (""strange reality: street lights bent, cars flew through houses, stars fell"") — same environment-alteration category."
Psilocybe_16_S03_A_RCL,Psilocybe_16,only_A,RCL,MISS,,manual,"""Trees outside loomed at him vibrant and alive"" — visual alteration / anthropomorphisation of trees. Matches AB S01/S02 (bricks as carpet, numbers/face on wall) — ambient object-alteration category."
Psilocybe_16_S05_B_RCL,Psilocybe_16,only_B,RCL,AMBIGUITY,2a,manual,"""Couldn't tell whether pictures on Alex Grey's website were actually moving animations or not"" — metacognitive uncertainty about whether a perception is hallucinated or real. Edge-case: the scene-existence judgement itself is in the rater's uncertainty. Guidelines unclear on how to code ""uncertain-origin"" perceptions."
Psilocybe_16_S08_B_RCL,Psilocybe_16,only_B,RCL,AMBIGUITY,2b,manual,"""Resistance between my fingers and the desk… had no location… just the sensation of pressure"" — altered somatosensory processing (dimensionless tactile perception). Phenomenologically real but not a hallucinated content scene; would fit an altered-perceptual-phenomenology category."
Psilocybe_16_S09_B_RCL,Psilocybe_16,only_B,RCL,AMBIGUITY,2b,manual,"""Language went too, devolving into glossolalia soup"" + random-image conjuring — language dysfunction + internally-generated imagery. Language dysfunction is cognitive; the imagery is voluntary/conjured, not spontaneous hallucination."
Psilocybe_17_S01_A_RCL,Psilocybe_17,only_A,RCL,MISS,,manual,"""Newspapers on table defy gravity, flap gently as if from a breeze"" — concrete visual hallucination of objects moving. Matches AB S06 (""Quetzalcoatl reappears, morphs room: walls split, windows become flapping mirrors"") — same flapping/environment-distortion phenomenon."
Psilocybe_18_S06_A_RCL,Psilocybe_18,only_A,RCL,MISS,,manual,"""Outlines of spiders on both peaks of Squaw Peak"" — concrete visual hallucination with specific content. Matches AB S03 (""fuzzy edge of scarf appears as large white spider"") and S05 (""jaguar's eyes staring back from city skyline"") — same pattern-outline hallucination pattern."
Psilocybe_18_S08_A_RCL,Psilocybe_18,only_A,RCL,MISS,,manual,"""Words were moving across the screen"" — concrete visual alteration of text. Pair's criterion includes many surface-motion alterations throughout the trip."
