substance,block,coder,trip_id,trip_id_inferred,dose_raw,item_id,item_code,level_1,level_2,level_3,occurrence_count,excerpt_idx,excerpt,source_row
psilocybin,01-10,Alessandra,Psilocybe_01,False,,nonsensory_hallucination_human,Nonsensory hallucination | Human,Nonsensory hallucination,Human,,1,0,"but I felt the presence also of people I've never met, people I admire, etc",102
psilocybin,01-10,Alessandra,Psilocybe_01,False,,nonsensory_hallucination_inorganic_entity,Nonsensory hallucination | Inorganic entity,Nonsensory hallucination,Inorganic entity,,1,0,"But it felt like there were other ''entities'' around me that I didn't know. They did not necessarily all have a form, but I felt their presence.",106
psilocybin,01-10,Alessandra,Psilocybe_01,False,,modal_status_of_the_hallucination_possible_but_improbable_event,Modal status of the hallucination | Possible but improbable event,Modal status of the hallucination,Possible but improbable event,,1,0,"If I would think about people in my life, I might see them or remember scenes and analyze them and talk about the situations with these people at the same time",111
psilocybin,01-10,Alessandra,Psilocybe_01,False,,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,6,0,"kaleidoscopic fragmentations of color and shapes, or fractals, all gently moving and swirling and pulsating",112
psilocybin,01-10,Alessandra,Psilocybe_01,False,,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,6,1,"other ''entities'' around me that I didn't know. They did not necessarily all have a form, but I felt their presence. Some might just be the inside of a swirl from a corner of what I was seeing",112
psilocybin,01-10,Alessandra,Psilocybe_01,False,,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,6,2,"I felt caught in what seemed to be a very erotic dance with all these entities, and every now and then we were 'spotted' by outsiders",112
psilocybin,01-10,Alessandra,Psilocybe_01,False,,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,6,3,"I barely felt where the edges of my blanket or my own body ended and where these shaped began, they seemed to flow from one another",112
psilocybin,01-10,Alessandra,Psilocybe_01,False,,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,6,4,There were still the breaking edges if I focused a little but more on one point,112
psilocybin,01-10,Alessandra,Psilocybe_01,False,,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,6,5,"I notice just how strong the visuals are when I look on the tile floor and every tiny strand of hair is moving, fluctuating, ondulating and separating into its own edges.",112
psilocybin,01-10,Alessandra,Psilocybe_01,False,,dynamics_of_the_hallucination_object_constancy,Dynamics of the hallucination | Object constancy,Dynamics of the hallucination,Object constancy,,6,0,"kaleidoscopic fragmentations of color and shapes, or fractals, all gently moving and swirling and pulsating",114
psilocybin,01-10,Alessandra,Psilocybe_01,False,,dynamics_of_the_hallucination_object_constancy,Dynamics of the hallucination | Object constancy,Dynamics of the hallucination,Object constancy,,6,1,"If I would think about people in my life, I might see them or remember scenes and analyze them and talk about the situations with these people at the same time",114
psilocybin,01-10,Alessandra,Psilocybe_01,False,,dynamics_of_the_hallucination_object_constancy,Dynamics of the hallucination | Object constancy,Dynamics of the hallucination,Object constancy,,6,2,"other ''entities'' around me that I didn't know. They did not necessarily all have a form, but I felt their presence. Some might just be the inside of a swirl from a corner of what I was seeing",114
psilocybin,01-10,Alessandra,Psilocybe_01,False,,dynamics_of_the_hallucination_object_constancy,Dynamics of the hallucination | Object constancy,Dynamics of the hallucination,Object constancy,,6,3,"I felt caught in what seemed to be a very erotic dance with all these entities, and every now and then we were 'spotted' by outsiders",114
psilocybin,01-10,Alessandra,Psilocybe_01,False,,dynamics_of_the_hallucination_object_constancy,Dynamics of the hallucination | Object constancy,Dynamics of the hallucination,Object constancy,,6,4,"I barely felt where the edges of my blanket or my own body ended and where these shaped began, they seemed to flow from one another.",114
psilocybin,01-10,Alessandra,Psilocybe_01,False,,dynamics_of_the_hallucination_object_constancy,Dynamics of the hallucination | Object constancy,Dynamics of the hallucination,Object constancy,,6,5,There were still the breaking edges if I focused a little but more on one point,114
psilocybin,01-10,Alessandra,Psilocybe_01,False,,dynamics_of_the_hallucination_no_object_constancy,Dynamics of the hallucination | No object constancy,Dynamics of the hallucination,No object constancy,,1,0,"when I look on the tile floor and every tiny strand of hair is moving, fluctuating, ondulating and separating into its own edges.",115
psilocybin,01-10,Alessandra,Psilocybe_01,False,,sensory_delight_erotic,Sensory delight | Erotic,Sensory delight,Erotic,,1,0,I've felt as very sexual. I felt caught in what seemed to be a very erotic dance with all these entities,126
psilocybin,01-10,Alessandra,Psilocybe_01,False,,enhanced_mental_imagery,Enhanced mental imagery,Enhanced mental imagery,,,3,0,"the audio and visual hallucinations started becoming much more intense, so much that I had to lie down on my back",128
psilocybin,01-10,Alessandra,Psilocybe_01,False,,enhanced_mental_imagery,Enhanced mental imagery,Enhanced mental imagery,,,3,1,I was thinking about so many things at the same time,128
psilocybin,01-10,Alessandra,Psilocybe_01,False,,enhanced_mental_imagery,Enhanced mental imagery,Enhanced mental imagery,,,3,2,"there was an incredible amount of things going on in my head actually.And every time things became a bit too much (even if it was all on the
positive side)",128
psilocybin,01-10,Alessandra,Psilocybe_01,False,,sense_of_reality_lucid,Sense of reality | Lucid,Sense of reality,Lucid,,4,0,I also felt I wasn't alone. Every now and then I would become aware of my partner's or of other people going about their day in our apartment and in those moment I felt super sober and could register these with clarity.,130
psilocybin,01-10,Alessandra,Psilocybe_01,False,,sense_of_reality_lucid,Sense of reality | Lucid,Sense of reality,Lucid,,4,1,"At some point, I felt decidedly less stimulated and proceeded to come out of my world deliberately and try to sense what was going on in the room.",130
psilocybin,01-10,Alessandra,Psilocybe_01,False,,sense_of_reality_lucid,Sense of reality | Lucid,Sense of reality,Lucid,,4,2,"I wanted to go, and I believed I could, but I felt I was near the peak already and very self-conscious about how others might perceive me.",130
psilocybin,01-10,Alessandra,Psilocybe_01,False,,sense_of_reality_lucid,Sense of reality | Lucid,Sense of reality,Lucid,,4,3,I felt so acutely hypersensitive and self-conscious I was keeping an eye; on that reality also so that when I needed to go to the bathroom again I could do it and try not to bump into anyone.,130
psilocybin,01-10,Alessandra,Psilocybe_01,False,,domain-specific_violation_biological_projection,Domain-specific violation | Biological projection,Domain-specific violation,Biological projection,,2,0,"all were in good mood, laughing and being very understanding with me and each other. There was only love and understanding really.",138
psilocybin,01-10,Alessandra,Psilocybe_01,False,,domain-specific_violation_biological_projection,Domain-specific violation | Biological projection,Domain-specific violation,Biological projection,,2,1,"we were 'spotted' by outsiders, so we would all giggle and amaze ourselves at how nice and unapologetically beautiful we all are, and then continue...great deal of understanding also in terms of consent and not pressuring any entity into anything",138
psilocybin,01-10,Alessandra,Psilocybe_01,False,,domain-specific_violation_psychological_projection,Domain-specific violation | Psychological projection,Domain-specific violation,Psychological projection,,2,0,"all were in good mood, laughing and being very understanding with me and each other. There was only love and understanding really.",139
psilocybin,01-10,Alessandra,Psilocybe_01,False,,domain-specific_violation_psychological_projection,Domain-specific violation | Psychological projection,Domain-specific violation,Psychological projection,,2,1,"we were 'spotted' by outsiders, so we would all giggle and amaze ourselves at how nice and unapologetically beautiful we all are, and then continue….great deal of understanding also in terms of consent and not pressuring any entity into anything",139
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_positive_emotion,Emotion | Positive emotion,Emotion,Positive emotion,,8,0,was flooded with a feeling of love and well-being,141
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_positive_emotion,Emotion | Positive emotion,Emotion,Positive emotion,,8,1,"I felt wrapped, enveloped in it, and it was a very pleasant feeling",141
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_positive_emotion,Emotion | Positive emotion,Emotion,Positive emotion,,8,2,as I had just recently gotten into dancing for hours at parties and am enjoying it immensely.,141
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_positive_emotion,Emotion | Positive emotion,Emotion,Positive emotion,,8,3,"Erykah Badu. Priceless moment there, really.",141
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_positive_emotion,Emotion | Positive emotion,Emotion,Positive emotion,,8,4,I felt caught in what seemed to be a very erotic dance with all these entities..I felt all the more grateful and comfortable.,141
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_positive_emotion,Emotion | Positive emotion,Emotion,Positive emotion,,8,5,"I was crying for most of it because I couldn't contain the feeling of joy, but also smiling, laughing or softly moaning",141
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_positive_emotion,Emotion | Positive emotion,Emotion,Positive emotion,,8,6,"The general feeling Im left with is of understanding, compassion, and love.",141
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_positive_emotion,Emotion | Positive emotion,Emotion,Positive emotion,,8,7,Another poignant feeling during the trip was being incredibly overwhelmed at the miracle of life,141
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_negative_emotion,Emotion | Negative emotion,Emotion,Negative emotion,,3,0,"It was eerie, I was very conscious of what just happened and everything was fine and normal, but at the same time the feeling of returning to my room after this experience was just... Eerie",142
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_negative_emotion,Emotion | Negative emotion,Emotion,Negative emotion,,3,1,"I went from being ok to being cold, to sweating, to mild cold sweat and then feeling ok again",142
psilocybin,01-10,Alessandra,Psilocybe_01,False,,emotion_negative_emotion,Emotion | Negative emotion,Emotion,Negative emotion,,3,2,"And every time things became a bit too much (even if it was all on the positive side), I proceeded to take deep breaths and try to relax with every exhale",142
psilocybin,01-10,Alessandra,Psilocybe_01,False,,arousal_abnormally_low,Arousal | Abnormally low,Arousal,Abnormally low,,3,0,"visual hallucinations started becoming much more intense, so much that I had to lie down on my back",145
psilocybin,01-10,Alessandra,Psilocybe_01,False,,arousal_abnormally_low,Arousal | Abnormally low,Arousal,Abnormally low,,3,1,"During all this time I was lying in my bed, clutching my blanket at times and twisting underneath it. I kept my eyes closed for almost all of the trip.",145
psilocybin,01-10,Alessandra,Psilocybe_01,False,,arousal_abnormally_low,Arousal | Abnormally low,Arousal,Abnormally low,,3,2,"I came to the edge of the bed, stood up pretty fast, got a bit dizzy when upright but he caught me and I started walking...I must have seemed just sleepy or that I&#39;ve been crying.",145
psilocybin,01-10,Alessandra,Psilocybe_01,False,,insight_metaphysical,Insight | Metaphysical,Insight,Metaphysical,,1,0,"we are all connected, every being with every little imperfection in its mightiness",149
psilocybin,01-10,Alessandra,Psilocybe_01,False,,insight_existential,Insight | Existential,Insight,Existential,,2,0,"greater understanding of the people around me, and especially in their weaker moments…",152
psilocybin,01-10,Alessandra,Psilocybe_01,False,,insight_existential,Insight | Existential,Insight,Existential,,2,1,Im also left with a renewed trust that people can overcome their heteronormative socialization and experience closeness and affection,152
psilocybin,01-10,Alessandra,Psilocybe_01,False,,ego_dissolution_bodily_self,Ego dissolution | Bodily self,Ego dissolution,Bodily self,,1,0,"I barely felt where the edges of my blanket or my own body ended and where these shaped began, they seemed to flow from one another",155
psilocybin,01-10,Alessandra,Psilocybe_01,False,,sense_of_surprise_and_unexpectedness,Sense of surprise and unexpectedness,Sense of surprise and unexpectedness,,,1,0,"Another poignant feeling during the trip was being incredibly overwhelmed at the miracle of life, and how even in the most adverse conditions most of us continue to go about in our lives.",157
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,5,0,"Everything around was so colourful (Mexican reality), so you can imagine how deep the perception of colours is.",165
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,5,1,"The wall is liquid and transparent, like water flowing into it.",165
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,5,2,"my hands. They were transparent, milky,with blue veins inside",165
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,5,3,"I stare at my hand again...the lines on the palm, that change colour and define spaces... The back of the hand has all the tendons tight, it seems a dead hand.",165
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,5,4,the first thing I said was: do you see how colourful is the sky?,165
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,0,"In front of me there was a tree and its cortex was full of cracks. And it was alive. It moved with tiny localised movements, like if every part of it was animated. The pine needles became a surface full of filaments sliding one on another, with wave movements.",167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,1,my hands….full of tiny particles that were moving.,167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,2,"The ground is like a mass of moving worms, black and shining.",167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,3,"all the trees become a vortex, too strong for me... I disappear in a world of colourful visions. Fluorescent lines move leaving traces on a black screen,following a secret geometry.",167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,4,"I am among brilliant green heart shaped leaves, the rain is like ice needles against my face, the wind is blowing as in dolby surround… wow",167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,5,blanket is so beautiful! There were flowers fluctuating on it. I like that so much that I decided to merge with them.,167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,6,"I had visions of my past, parties, clubs",167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,7,"Then again colourful visions: lights, luminous wires interweaving.",167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,8,Colourful snakes moving in a beautiful pattern.,167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,9,veins and nodes are floating,167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,10,"wonderful dragons/demons flying in the space, gold rings with turquoise, jade and lapislazuli inlay whirling, like snake skin that create an esoteric symbol with an infinite power.",167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,11,"Then everything turn to silver, and it becomes like an opera set that exits the proscenium leaning toward the audience.",167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,12,"I imagine the end of everything with the dissolution of the body, and it is so sad",167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,14,13,There's a rectangle filled with iridescent lines that seems soft and pulsing. Then the hand fills the visual field as a planet surface,167
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_full-blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,4,0,Suddenly I entered “2001: A space Odyssey”.,168
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_full-blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,4,1,It is visually represented like a virtual room with every wall in a hexagon shape. In the middle of it there is a round window that leads to a different world (I've also drawn a picture of this). Will power is in the centre of this geometric room and can move from one world to another through this kind of dimensional porthole.,168
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_full-blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,4,2,"I have a visual of a black heart-shaped obsidian, inside a dark cave.Then it takes an anthropomorphic shape, made of black fog that is the essence of evil.",168
psilocybin,01-10,Alessandra,Psilocybe_02,False,,type_of_visual_alteration_full-blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,4,3,"fell into a fantasy world, something like The Lord of The Rings.",168
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,4,0,vortex,170
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,4,1,fluorescent lines,170
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,4,2,rectangle,170
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,4,3,iridescent lines,170
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),1,0,audience,175
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),4,0,blue veins,177
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),4,1,parties,177
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),4,2,clubs,177
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),4,3,body,177
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_artefact_city_building_furniture,"Visual hallucination | Artefact | City, building, furniture",Visual hallucination,Artefact,"City, building, furniture",4,0,opera set,180
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_artefact_city_building_furniture,"Visual hallucination | Artefact | City, building, furniture",Visual hallucination,Artefact,"City, building, furniture",4,1,proscenio,180
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_artefact_city_building_furniture,"Visual hallucination | Artefact | City, building, furniture",Visual hallucination,Artefact,"City, building, furniture",4,2,virtual room,180
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_artefact_city_building_furniture,"Visual hallucination | Artefact | City, building, furniture",Visual hallucination,Artefact,"City, building, furniture",4,3,hexagonal walls,180
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_artefact_other,Visual hallucination | Artefact | Other,Visual hallucination,Artefact,Other,3,0,black screen,183
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_artefact_other,Visual hallucination | Artefact | Other,Visual hallucination,Artefact,Other,3,1,lights,183
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_artefact_other,Visual hallucination | Artefact | Other,Visual hallucination,Artefact,Other,3,2,luminous wires interweaving.,183
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_artefact_other,Visual hallucination | Artefact | Other,Visual hallucination,Artefact,Other,3,3,veins and nodes,183
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,1,0,mass of moving worms,188
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_animal_other,Visual hallucination | Animal | Other,Visual hallucination,Animal,Other,1,0,Colourful snakes,189
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_plant_tree_shrub,"Visual hallucination | Plant | Tree, shrub",Visual hallucination,Plant,"Tree, shrub",2,0,Tree,191
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_plant_tree_shrub,"Visual hallucination | Plant | Tree, shrub",Visual hallucination,Plant,"Tree, shrub",2,1,pine needles,191
psilocybin,01-10,Alessandra,Psilocybe_02,False,,visual_hallucination_plant_flower_grass,"Visual hallucination | Plant | Flower, grass",Visual hallucination,Plant,"Flower, grass",2,0,brilliant green heart shaped leaves,192
